IP地址	端口	回源端口	TLS	数据中心	地区	城市	TCP延迟(ms)	速度(MB/s)
8.219.122.96	8443	8443	TRUE	SIN	Asia Pacific	Singapore	94	8.4
8.219.100.155	2053	2053	TRUE	SIN	Asia Pacific	Singapore	117	8.4
47.74.54.33	8880	8880	FALSE	HKG	Asia Pacific	Hong Kong	169	8.4
47.74.9.174	2096	2096	TRUE	SIN	Asia Pacific	Singapore	235	8.39
47.74.43.24	2095	2095	FALSE	NRT	Asia Pacific	Tokyo	73	8.39
8.219.74.35	80	80	FALSE	SIN	Asia Pacific	Singapore	10	8.39
47.74.34.162	2096	2096	TRUE	SIN	Asia Pacific	Singapore	193	8.38
8.219.83.201	2052	2052	FALSE	SIN	Asia Pacific	Singapore	15	8.38
8.222.159.252	8080	8080	FALSE	SIN	Asia Pacific	Singapore	9	8.37
47.243.183.127	2082	2082	FALSE	HKG	Asia Pacific	Hong Kong	50	8.37
47.245.54.58	2052	2052	FALSE	HKG	Asia Pacific	Hong Kong	173	8.37
47.242.176.237	2053	2053	TRUE	HKG	Asia Pacific	Hong Kong	53	8.37
8.219.72.50	2087	2087	TRUE	SIN	Asia Pacific	Singapore	120	8.37
8.209.243.99	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	85	8.37
47.74.16.67	2083	2083	TRUE	HKG	Asia Pacific	Hong Kong	212	8.36
8.219.255.171	2086	2086	FALSE	SIN	Asia Pacific	Singapore	18	8.36
8.219.161.129	2052	2052	FALSE	SIN	Asia Pacific	Singapore	39	8.35
47.245.55.235	2087	2087	TRUE	NRT	Asia Pacific	Tokyo	204	8.35
8.219.84.102	2087	2087	TRUE	SIN	Asia Pacific	Singapore	56	8.35
47.243.162.49	2053	2053	TRUE	HKG	Asia Pacific	Hong Kong	63	8.35
47.74.46.110	2086	2086	FALSE	HKG	Asia Pacific	Hong Kong	164	8.35
8.222.168.155	2095	2095	FALSE	SIN	Asia Pacific	Singapore	16	8.35
8.210.9.129	2087	2087	TRUE	HKG	Asia Pacific	Hong Kong	71	8.35
47.74.34.73	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	103	8.35
8.210.9.129	2086	2086	FALSE	HKG	Asia Pacific	Hong Kong	42	8.35
47.74.15.117	8880	8880	FALSE	HKG	Asia Pacific	Hong Kong	165	8.34
47.245.54.140	2082	2082	FALSE	LAX	North America	Los Angeles	203	8.34
8.219.161.129	2096	2096	TRUE	SIN	Asia Pacific	Singapore	127	8.34
8.219.145.245	2053	2053	TRUE	SIN	Asia Pacific	Singapore	62	8.34
47.236.83.239	2053	2053	TRUE	HKG	Asia Pacific	Hong Kong	135	8.34
47.74.26.196	2087	2087	TRUE	HKG	Asia Pacific	Hong Kong	283	8.33
47.74.27.151	8080	8080	FALSE	SIN	Asia Pacific	Singapore	158	8.33
8.210.21.65	2052	2052	FALSE	HKG	Asia Pacific	Hong Kong	37	8.33
8.222.160.61	2083	2083	TRUE	SIN	Asia Pacific	Singapore	106	8.33
8.219.152.195	2083	2083	TRUE	SIN	Asia Pacific	Singapore	111	8.33
8.222.140.87	2052	2052	FALSE	SIN	Asia Pacific	Singapore	26	8.32
47.236.15.73	8080	8080	FALSE	HKG	Asia Pacific	Hong Kong	52	8.32
8.219.241.189	2095	2095	FALSE	SIN	Asia Pacific	Singapore	3	8.32
47.245.86.230	2096	2096	TRUE	SIN	Asia Pacific	Singapore	114	8.32
47.236.88.181	2053	2053	TRUE	SIN	Asia Pacific	Singapore	64	8.32
47.74.0.183	2082	2082	FALSE	NRT	Asia Pacific	Tokyo	75	8.32
8.219.170.223	8443	8443	TRUE	SIN	Asia Pacific	Singapore	77	8.31
47.74.13.94	8080	8080	FALSE	NRT	Asia Pacific	Tokyo	75	8.31
8.219.161.129	443	443	TRUE	SIN	Asia Pacific	Singapore	85	8.31
8.219.93.85	2087	2087	TRUE	SIN	Asia Pacific	Singapore	99	8.31
47.236.150.109	2082	2082	FALSE	SIN	Asia Pacific	Singapore	31	8.31
8.222.152.165	2086	2086	FALSE	SIN	Asia Pacific	Singapore	15	8.31
